industry,category,subcategory_1,name,description,price,cost,taxable,unit_of_measure,online_booking_enabled
Heating and Air Conditioning,EQUIPMENT,AC PRO M SERIES,AC Pro M-Series AC – 3 Ton – 14.3 SEER2,"Equipment only. Change-out compatible.",2407.56,1389.79,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO M SERIES,AC Pro M-Series AC – 4 Ton – 14.3 SEER2,"Equipment only. Change-out compatible.",3171.36,1830.70,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO X SERIES,AC Pro X-Series Heat Pump – 4 Ton – 17.5 SEER2,"Equipment only. Change-out compatible.",4929.7,2845.72,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO Y SERIES,AC Pro Y-Series Heat Pump – 3 Ton – 18 SEER2,"Equipment only. Change-out compatible.",3605.1,2081.08,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO Z SERIES,AC Pro Z-Series Heat Pump – 5 Ton – 17.5 SEER2,"Equipment only. Change-out compatible.",4424.45,2554.06,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO P SERIES,AC Pro P-Series Package Heat Pump – 5 Ton,"Equipment only. Change-out compatible.",6673.5,3852.35,false,Each,false
