industry,category,subcategory_1,name,description,price,cost,taxable,unit_of_measure,online_booking_enabled
Heating and Air Conditioning,EQUIPMENT,AC PRO M SERIES,"AC Pro M-Series AC – 3 Ton – 14.3 SEER2","AC Pro M-Series split system air conditioner. Equipment only. Change-out compatible.",1805.67,1389.79,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO M SERIES,"AC Pro M-Series AC – 4 Ton – 14.3 SEER2","AC Pro M-Series split system air conditioner. Equipment only. Change-out compatible.",2378.52,1830.7,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO X SERIES,"AC Pro X-Series Heat Pump – 4 Ton – 17.5 SEER2","AC Pro X-Series inverter heat pump. Equipment only. Change-out compatible.",3697.27,2845.72,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO Y SERIES,"AC Pro Y-Series Heat Pump – 3 Ton – 18 SEER2","AC Pro Y-Series high efficiency heat pump. Equipment only. Change-out compatible.",2703.82,2081.08,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO Z SERIES,"AC Pro Z-Series Heat Pump – 5 Ton – 17.5 SEER2","AC Pro Z-Series inverter heat pump. Equipment only. Change-out compatible.",3318.34,2554.06,false,Each,false
Heating and Air Conditioning,EQUIPMENT,AC PRO P SERIES,"AC Pro P-Series Package Heat Pump – 5 Ton","AC Pro P-Series package heat pump. Equipment only. Change-out compatible.",5005.13,3852.35,false,Each,false
